Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000018,Nottingham,7,Aged 50 to 64 years,48818
E06000018,Nottingham,8,Aged 65 to 74 years,20685
E06000018,Nottingham,9,Aged 75 years and over,17280
E06000019,Herefordshire,1,Aged 4 years and under,8429
E06000019,Herefordshire,2,Aged 5 to 9 years,9508
E06000019,Herefordshire,3,Aged 10 to 15 years,11965
E06000019,Herefordshire,4,Aged 16 to 24 years,15366
E06000019,Herefordshire,5,Aged 25 to 34 years,20186
E06000019,Herefordshire,6,Aged 35 to 49 years,31287
E06000019,Herefordshire,7,Aged 50 to 64 years,41822
E06000019,Herefordshire,8,Aged 65 to 74 years,25495
E06000019,Herefordshire,9,Aged 75 years and over,22977
E06000020,Telford and Wrekin,1,Aged 4 years and under,10562
E06000020,Telford and Wrekin,2,Aged 5 to 9 years,11869
E06000020,Telford and Wrekin,3,Aged 10 to 15 years,14436
E06000020,Telford and Wrekin,4,Aged 16 to 24 years,19570
E06000020,Telford and Wrekin,5,Aged 25 to 34 years,24530
E06000020,Telford and Wrekin,6,Aged 35 to 49 years,35391
E06000020,Telford and Wrekin,7,Aged 50 to 64 years,36466
E06000020,Telford and Wrekin,8,Aged 65 to 74 years,18312
E06000020,Telford and Wrekin,9,Aged 75 years and over,14405
E06000021,Stoke-on-Trent,1,Aged 4 years and under,15625
E06000021,Stoke-on-Trent,2,Aged 5 to 9 years,16989
E06000021,Stoke-on-Trent,3,Aged 10 to 15 years,19855
E06000021,Stoke-on-Trent,4,Aged 16 to 24 years,29038
E06000021,Stoke-on-Trent,5,Aged 25 to 34 years,36223
E06000021,Stoke-on-Trent,6,Aged 35 to 49 years,48701
E06000021,Stoke-on-Trent,7,Aged 50 to 64 years,47675
E06000021,Stoke-on-Trent,8,Aged 65 to 74 years,24255
E06000021,Stoke-on-Trent,9,Aged 75 years and over,20009
E06000022,Bath and North East Somerset,1,Aged 4 years and under,9019
E06000022,Bath and North East Somerset,2,Aged 5 to 9 years,10046
E06000022,Bath and North East Somerset,3,Aged 10 to 15 years,12725
E06000022,Bath and North East Somerset,4,Aged 16 to 24 years,31243
E06000022,Bath and North East Somerset,5,Aged 25 to 34 years,23176
E06000022,Bath and North East Somerset,6,Aged 35 to 49 years,33405
E06000022,Bath and North East Somerset,7,Aged 50 to 64 years,36273
E06000022,Bath and North East Somerset,8,Aged 65 to 74 years,19267
E06000022,Bath and North East Somerset,9,Aged 75 years and over,18255
E06000023,Bristol,1,Aged 4 years and under,25942
E06000023,Bristol,2,Aged 5 to 9 years,26764
E06000023,Bristol,3,Aged 10 to 15 years,30051
E06000023,Bristol,4,Aged 16 to 24 years,72679
E06000023,Bristol,5,Aged 25 to 34 years,88256
E06000023,Bristol,6,Aged 35 to 49 years,96078
E06000023,Bristol,7,Aged 50 to 64 years,71934
E06000023,Bristol,8,Aged 65 to 74 years,32870
E06000023,Bristol,9,Aged 75 years and over,27890
E06000024,North Somerset,1,Aged 4 years and under,10662
E06000024,North Somerset,2,Aged 5 to 9 years,12250
E06000024,North Somerset,3,Aged 10 to 15 years,15251
E06000024,North Somerset,4,Aged 16 to 24 years,18194
E06000024,North Somerset,5,Aged 25 to 34 years,23125
E06000024,North Somerset,6,Aged 35 to 49 years,40612
