Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E09000014,Haringey,5,Aged 25 to 34 years,49901
E09000014,Haringey,6,Aged 35 to 49 years,63930
E09000014,Haringey,7,Aged 50 to 64 years,46514
E09000014,Haringey,8,Aged 65 to 74 years,15969
E09000014,Haringey,9,Aged 75 years and over,11743
E09000015,Harrow,1,Aged 4 years and under,15699
E09000015,Harrow,2,Aged 5 to 9 years,16133
E09000015,Harrow,3,Aged 10 to 15 years,19750
E09000015,Harrow,4,Aged 16 to 24 years,26905
E09000015,Harrow,5,Aged 25 to 34 years,38925
E09000015,Harrow,6,Aged 35 to 49 years,58063
E09000015,Harrow,7,Aged 50 to 64 years,45549
E09000015,Harrow,8,Aged 65 to 74 years,21410
E09000015,Harrow,9,Aged 75 years and over,18769
E09000016,Havering,1,Aged 4 years and under,16491
E09000016,Havering,2,Aged 5 to 9 years,16862
E09000016,Havering,3,Aged 10 to 15 years,18969
E09000016,Havering,4,Aged 16 to 24 years,25467
E09000016,Havering,5,Aged 25 to 34 years,36230
E09000016,Havering,6,Aged 35 to 49 years,52842
E09000016,Havering,7,Aged 50 to 64 years,49080
E09000016,Havering,8,Aged 65 to 74 years,23993
E09000016,Havering,9,Aged 75 years and over,22118
E09000017,Hillingdon,1,Aged 4 years and under,19881
E09000017,Hillingdon,2,Aged 5 to 9 years,20469
E09000017,Hillingdon,3,Aged 10 to 15 years,23681
E09000017,Hillingdon,4,Aged 16 to 24 years,34682
E09000017,Hillingdon,5,Aged 25 to 34 years,44450
E09000017,Hillingdon,6,Aged 35 to 49 years,68671
E09000017,Hillingdon,7,Aged 50 to 64 years,52902
E09000017,Hillingdon,8,Aged 65 to 74 years,22110
E09000017,Hillingdon,9,Aged 75 years and over,19063
E09000018,Hounslow,1,Aged 4 years and under,18221
E09000018,Hounslow,2,Aged 5 to 9 years,19107
E09000018,Hounslow,3,Aged 10 to 15 years,22172
E09000018,Hounslow,4,Aged 16 to 24 years,29416
E09000018,Hounslow,5,Aged 25 to 34 years,45718
E09000018,Hounslow,6,Aged 35 to 49 years,70964
E09000018,Hounslow,7,Aged 50 to 64 years,48634
E09000018,Hounslow,8,Aged 65 to 74 years,19470
E09000018,Hounslow,9,Aged 75 years and over,14479
E09000019,Islington,1,Aged 4 years and under,11211
E09000019,Islington,2,Aged 5 to 9 years,9975
E09000019,Islington,3,Aged 10 to 15 years,11777
E09000019,Islington,4,Aged 16 to 24 years,27291
E09000019,Islington,5,Aged 25 to 34 years,56063
E09000019,Islington,6,Aged 35 to 49 years,46411
E09000019,Islington,7,Aged 50 to 64 years,33540
E09000019,Islington,8,Aged 65 to 74 years,11827
E09000019,Islington,9,Aged 75 years and over,8494
E09000020,Kensington and Chelsea,1,Aged 4 years and under,6171
E09000020,Kensington and Chelsea,2,Aged 5 to 9 years,6364
E09000020,Kensington and Chelsea,3,Aged 10 to 15 years,7751
E09000020,Kensington and Chelsea,4,Aged 16 to 24 years,17642
E09000020,Kensington and Chelsea,5,Aged 25 to 34 years,25142
E09000020,Kensington and Chelsea,6,Aged 35 to 49 years,30355
E09000020,Kensington and Chelsea,7,Aged 50 to 64 years,29350
E09000020,Kensington and Chelsea,8,Aged 65 to 74 years,11324
E09000020,Kensington and Chelsea,9,Aged 75 years and over,9276
E09000021,Kingston upon Thames,1,Aged 4 years and under,9559
E09000021,Kingston upon Thames,2,Aged 5 to 9 years,10512
E09000021,Kingston upon Thames,3,Aged 10 to 15 years,12528
E09000021,Kingston upon Thames,4,Aged 16 to 24 years,18663
E09000021,Kingston upon Thames,5,Aged 25 to 34 years,23271
E09000021,Kingston upon Thames,6,Aged 35 to 49 years,39162
E09000021,Kingston upon Thames,7,Aged 50 to 64 years,30045
E09000021,Kingston upon Thames,8,Aged 65 to 74 years,13328
E09000021,Kingston upon Thames,9,Aged 75 years and over,10996
E09000022,Lambeth,1,Aged 4 years and under,15265
E09000022,Lambeth,2,Aged 5 to 9 years,14940
E09000022,Lambeth,3,Aged 10 to 15 years,18505
E09000022,Lambeth,4,Aged 16 to 24 years,38669
E09000022,Lambeth,5,Aged 25 to 34 years,81898
E09000022,Lambeth,6,Aged 35 to 49 years,69291
E09000022,Lambeth,7,Aged 50 to 64 years,51826
E09000022,Lambeth,8,Aged 65 to 74 years,15836
E09000022,Lambeth,9,Aged 75 years and over,11424
E09000023,Lewisham,1,Aged 4 years and under,19127
E09000023,Lewisham,2,Aged 5 to 9 years,18172
E09000023,Lewisham,3,Aged 10 to 15 years,20843
E09000023,Lewisham,4,Aged 16 to 24 years,31217
E09000023,Lewisham,5,Aged 25 to 34 years,58431
E09000023,Lewisham,6,Aged 35 to 49 years,72036
E09000023,Lewisham,7,Aged 50 to 64 years,52083
E09000023,Lewisham,8,Aged 65 to 74 years,16092
E09000023,Lewisham,9,Aged 75 years and over,12552
E09000024,Merton,1,Aged 4 years and under,13532
E09000024,Merton,2,Aged 5 to 9 years,13300
E09000024,Merton,3,Aged 10 to 15 years,15582
E09000024,Merton,4,Aged 16 to 24 years,19431
E09000024,Merton,5,Aged 25 to 34 years,36354
E09000024,Merton,6,Aged 35 to 49 years,52598
E09000024,Merton,7,Aged 50 to 64 years,37318
E09000024,Merton,8,Aged 65 to 74 years,14983
E09000024,Merton,9,Aged 75 years and over,12088
E09000025,Newham,1,Aged 4 years and under,23854
E09000025,Newham,2,Aged 5 to 9 years,23326
E09000025,Newham,3,Aged 10 to 15 years,27683
E09000025,Newham,4,Aged 16 to 24 years,46051
E09000025,Newham,5,Aged 25 to 34 years,72734
E09000025,Newham,6,Aged 35 to 49 years,82692
E09000025,Newham,7,Aged 50 to 64 years,49530
E09000025,Newham,8,Aged 65 to 74 years,15398
E09000025,Newham,9,Aged 75 years and over,9768
E09000026,Redbridge,1,Aged 4 years and under,21194
E09000026,Redbridge,2,Aged 5 to 9 years,21733
E09000026,Redbridge,3,Aged 10 to 15 years,25316
E09000026,Redbridge,4,Aged 16 to 24 years,34392
E09000026,Redbridge,5,Aged 25 to 34 years,46639
E09000026,Redbridge,6,Aged 35 to 49 years,72126
E09000026,Redbridge,7,Aged 50 to 64 years,50928
E09000026,Redbridge,8,Aged 65 to 74 years,20909
E09000026,Redbridge,9,Aged 75 years and over,17023
E09000027,Richmond upon Thames,1,Aged 4 years and under,11103
E09000027,Richmond upon Thames,2,Aged 5 to 9 years,12812
E09000027,Richmond upon Thames,3,Aged 10 to 15 years,15529
E09000027,Richmond upon Thames,4,Aged 16 to 24 years,16079
E09000027,Richmond upon Thames,5,Aged 25 to 34 years,22051
E09000027,Richmond upon Thames,6,Aged 35 to 49 years,46948
E09000027,Richmond upon Thames,7,Aged 50 to 64 years,39309
E09000027,Richmond upon Thames,8,Aged 65 to 74 years,17086
E09000027,Richmond upon Thames,9,Aged 75 years and over,14361
E09000028,Southwark,1,Aged 4 years and under,16362
E09000028,Southwark,2,Aged 5 to 9 years,15893
E09000028,Southwark,3,Aged 10 to 15 years,19246
E09000028,Southwark,4,Aged 16 to 24 years,38653
E09000028,Southwark,5,Aged 25 to 34 years,73224
E09000028,Southwark,6,Aged 35 to 49 years,68304
E09000028,Southwark,7,Aged 50 to 64 years,50273
E09000028,Southwark,8,Aged 65 to 74 years,15069
E09000028,Southwark,9,Aged 75 years and over,10613
E09000029,Sutton,1,Aged 4 years and under,12796
E09000029,Sutton,2,Aged 5 to 9 years,14250
E09000029,Sutton,3,Aged 10 to 15 years,16936
E09000029,Sutton,4,Aged 16 to 24 years,18717
E09000029,Sutton,5,Aged 25 to 34 years,27200
E09000029,Sutton,6,Aged 35 to 49 years,49035
E09000029,Sutton,7,Aged 50 to 64 years,38961
E09000029,Sutton,8,Aged 65 to 74 years,16969
E09000029,Sutton,9,Aged 75 years and over,14772
E09000030,Tower Hamlets,1,Aged 4 years and under,19090
E09000030,Tower Hamlets,2,Aged 5 to 9 years,17656
E09000030,Tower Hamlets,3,Aged 10 to 15 years,20675
E09000030,Tower Hamlets,4,Aged 16 to 24 years,47075
E09000030,Tower Hamlets,5,Aged 25 to 34 years,85181
E09000030,Tower Hamlets,6,Aged 35 to 49 years,69956
E09000030,Tower Hamlets,7,Aged 50 to 64 years,33199
E09000030,Tower Hamlets,8,Aged 65 to 74 years,10380
E09000030,Tower Hamlets,9,Aged 75 years and over,7092
E09000031,Waltham Forest,1,Aged 4 years and under,18985
E09000031,Waltham Forest,2,Aged 5 to 9 years,17441
E09000031,Waltham Forest,3,Aged 10 to 15 years,19818
E09000031,Waltham Forest,4,Aged 16 to 24 years,27508
E09000031,Waltham Forest,5,Aged 25 to 34 years,51078
E09000031,Waltham Forest,6,Aged 35 to 49 years,69532
E09000031,Waltham Forest,7,Aged 50 to 64 years,45664
E09000031,Waltham Forest,8,Aged 65 to 74 years,15998
E09000031,Waltham Forest,9,Aged 75 years and over,12400
E09000032,Wandsworth,1,Aged 4 years and under,18704
E09000032,Wandsworth,2,Aged 5 to 9 years,16908
E09000032,Wandsworth,3,Aged 10 to 15 years,18336
E09000032,Wandsworth,4,Aged 16 to 24 years,34267
E09000032,Wandsworth,5,Aged 25 to 34 years,86123
E09000032,Wandsworth,6,Aged 35 to 49 years,74696
E09000032,Wandsworth,7,Aged 50 to 64 years,47138
E09000032,Wandsworth,8,Aged 65 to 74 years,17381
E09000032,Wandsworth,9,Aged 75 years and over,13952
E09000033,Westminster,1,Aged 4 years and under,8502
E09000033,Westminster,2,Aged 5 to 9 years,7877
E09000033,Westminster,3,Aged 10 to 15 years,10390
E09000033,Westminster,4,Aged 16 to 24 years,28225
E09000033,Westminster,5,Aged 25 to 34 years,44166
E09000033,Westminster,6,Aged 35 to 49 years,43908
E09000033,Westminster,7,Aged 50 to 64 years,36389
E09000033,Westminster,8,Aged 65 to 74 years,13646
E09000033,Westminster,9,Aged 75 years and over,11135
E10000003,Cambridgeshire,1,Aged 4 years and under,34470
E10000003,Cambridgeshire,2,Aged 5 to 9 years,38723
E10000003,Cambridgeshire,3,Aged 10 to 15 years,46008
E10000003,Cambridgeshire,4,Aged 16 to 24 years,75216
E10000003,Cambridgeshire,5,Aged 25 to 34 years,93959
E10000003,Cambridgeshire,6,Aged 35 to 49 years,134424
E10000003,Cambridgeshire,7,Aged 50 to 64 years,129473
E10000003,Cambridgeshire,8,Aged 65 to 74 years,67276
E10000003,Cambridgeshire,9,Aged 75 years and over,59301
E10000006,Cumbria,1,Aged 4 years and under,22404
E10000006,Cumbria,2,Aged 5 to 9 years,25297
E10000006,Cumbria,3,Aged 10 to 15 years,32110
E10000006,Cumbria,4,Aged 16 to 24 years,43041
E10000006,Cumbria,5,Aged 25 to 34 years,56172
E10000006,Cumbria,6,Aged 35 to 49 years,84698
E10000006,Cumbria,7,Aged 50 to 64 years,114600
E10000006,Cumbria,8,Aged 65 to 74 years,65657
E10000006,Cumbria,9,Aged 75 years and over,55868
E10000007,Derbyshire,1,Aged 4 years and under,38314
E10000007,Derbyshire,2,Aged 5 to 9 years,43124
E10000007,Derbyshire,3,Aged 10 to 15 years,53378
E10000007,Derbyshire,4,Aged 16 to 24 years,68444
E10000007,Derbyshire,5,Aged 25 to 34 years,94700
E10000007,Derbyshire,6,Aged 35 to 49 years,143537
E10000007,Derbyshire,7,Aged 50 to 64 years,177452
E10000007,Derbyshire,8,Aged 65 to 74 years,95365
E10000007,Derbyshire,9,Aged 75 years and over,80322
E10000008,Devon,1,Aged 4 years and under,35343
E10000008,Devon,2,Aged 5 to 9 years,41294
E10000008,Devon,3,Aged 10 to 15 years,51534
E10000008,Devon,4,Aged 16 to 24 years,80700
E10000008,Devon,5,Aged 25 to 34 years,84570
E10000008,Devon,6,Aged 35 to 49 years,134033
E10000008,Devon,7,Aged 50 to 64 years,174768
E10000008,Devon,8,Aged 65 to 74 years,109049
E10000008,Devon,9,Aged 75 years and over,100349
E10000011,East Sussex,1,Aged 4 years and under,24993
E10000011,East Sussex,2,Aged 5 to 9 years,28700
E10000011,East Sussex,3,Aged 10 to 15 years,36515
E10000011,East Sussex,4,Aged 16 to 24 years,45944
E10000011,East Sussex,5,Aged 25 to 34 years,56061
E10000011,East Sussex,6,Aged 35 to 49 years,92169
E10000011,East Sussex,7,Aged 50 to 64 years,118986
E10000011,East Sussex,8,Aged 65 to 74 years,73124
E10000011,East Sussex,9,Aged 75 years and over,69354
E10000012,Essex,1,Aged 4 years and under,83141
E10000012,Essex,2,Aged 5 to 9 years,88984
E10000012,Essex,3,Aged 10 to 15 years,107221
E10000012,Essex,4,Aged 16 to 24 years,140789
E10000012,Essex,5,Aged 25 to 34 years,185808
E10000012,Essex,6,Aged 35 to 49 years,284947
E10000012,Essex,7,Aged 50 to 64 years,302652
E10000012,Essex,8,Aged 65 to 74 years,163257
E10000012,Essex,9,Aged 75 years and over,146722
E10000013,Gloucestershire,1,Aged 4 years and under,32265
E10000013,Gloucestershire,2,Aged 5 to 9 years,36188
E10000013,Gloucestershire,3,Aged 10 to 15 years,44338
E10000013,Gloucestershire,4,Aged 16 to 24 years,61164
E10000013,Gloucestershire,5,Aged 25 to 34 years,76973
E10000013,Gloucestershire,6,Aged 35 to 49 years,118582
E10000013,Gloucestershire,7,Aged 50 to 64 years,135751
E10000013,Gloucestershire,8,Aged 65 to 74 years,73422
E10000013,Gloucestershire,9,Aged 75 years and over,66393
E10000014,Hampshire,1,Aged 4 years and under,71253
E10000014,Hampshire,2,Aged 5 to 9 years,80951
E10000014,Hampshire,3,Aged 10 to 15 years,97568
E10000014,Hampshire,4,Aged 16 to 24 years,125395
E10000014,Hampshire,5,Aged 25 to 34 years,165280
E10000014,Hampshire,6,Aged 35 to 49 years,263035
E10000014,Hampshire,7,Aged 50 to 64 years,293283
E10000014,Hampshire,8,Aged 65 to 74 years,157064
E10000014,Hampshire,9,Aged 75 years and over,147070
E10000015,Hertfordshire,1,Aged 4 years and under,70159
E10000015,Hertfordshire,2,Aged 5 to 9 years,76454
E10000015,Hertfordshire,3,Aged 10 to 15 years,93104
E10000015,Hertfordshire,4,Aged 16 to 24 years,113395
E10000015,Hertfordshire,5,Aged 25 to 34 years,153155
E10000015,Hertfordshire,6,Aged 35 to 49 years,254671
E10000015,Hertfordshire,7,Aged 50 to 64 years,233592
E10000015,Hertfordshire,8,Aged 65 to 74 years,106418
E10000015,Hertfordshire,9,Aged 75 years and over,97850
E10000016,Kent,1,Aged 4 years and under,87286
E10000016,Kent,2,Aged 5 to 9 years,95259
E10000016,Kent,3,Aged 10 to 15 years,116958
E10000016,Kent,4,Aged 16 to 24 years,152965
E10000016,Kent,5,Aged 25 to 34 years,191291
E10000016,Kent,6,Aged 35 to 49 years,298364
E10000016,Kent,7,Aged 50 to 64 years,314618
E10000016,Kent,8,Aged 65 to 74 years,169272
E10000016,Kent,9,Aged 75 years and over,150056
E10000017,Lancashire,1,Aged 4 years and under,63725
E10000017,Lancashire,2,Aged 5 to 9 years,70949
E10000017,Lancashire,3,Aged 10 to 15 years,87757
E10000017,Lancashire,4,Aged 16 to 24 years,132140
E10000017,Lancashire,5,Aged 25 to 34 years,147985
E10000017,Lancashire,6,Aged 35 to 49 years,221477
E10000017,Lancashire,7,Aged 50 to 64 years,255001
E10000017,Lancashire,8,Aged 65 to 74 years,138550
E10000017,Lancashire,9,Aged 75 years and over,117768
E10000018,Leicestershire,1,Aged 4 years and under,36021
E10000018,Leicestershire,2,Aged 5 to 9 years,40012
E10000018,Leicestershire,3,Aged 10 to 15 years,48901
E10000018,Leicestershire,4,Aged 16 to 24 years,75483
E10000018,Leicestershire,5,Aged 25 to 34 years,85196
E10000018,Leicestershire,6,Aged 35 to 49 years,132106
E10000018,Leicestershire,7,Aged 50 to 64 years,146569
E10000018,Leicestershire,8,Aged 65 to 74 years,79443
E10000018,Leicestershire,9,Aged 75 years and over,68636
E10000019,Lincolnshire,1,Aged 4 years and under,35818
E10000019,Lincolnshire,2,Aged 5 to 9 years,41243
E10000019,Lincolnshire,3,Aged 10 to 15 years,51094
E10000019,Lincolnshire,4,Aged 16 to 24 years,76566
E10000019,Lincolnshire,5,Aged 25 to 34 years,88319
E10000019,Lincolnshire,6,Aged 35 to 49 years,131652
E10000019,Lincolnshire,7,Aged 50 to 64 years,163519
E10000019,Lincolnshire,8,Aged 65 to 74 years,95935
E10000019,Lincolnshire,9,Aged 75 years and over,84219
E10000020,Norfolk,1,Aged 4 years and under,42518
E10000020,Norfolk,2,Aged 5 to 9 years,48368
E10000020,Norfolk,3,Aged 10 to 15 years,58138
E10000020,Norfolk,4,Aged 16 to 24 years,88594
E10000020,Norfolk,5,Aged 25 to 34 years,107825
E10000020,Norfolk,6,Aged 35 to 49 years,158591
E10000020,Norfolk,7,Aged 50 to 64 years,188324
E10000020,Norfolk,8,Aged 65 to 74 years,116400
E10000020,Norfolk,9,Aged 75 years and over,107362
E10000023,North Yorkshire,1,Aged 4 years and under,27741
E10000023,North Yorkshire,2,Aged 5 to 9 years,31233
E10000023,North Yorkshire,3,Aged 10 to 15 years,40337
E10000023,North Yorkshire,4,Aged 16 to 24 years,51524
E10000023,North Yorkshire,5,Aged 25 to 34 years,65066
E10000023,North Yorkshire,6,Aged 35 to 49 years,104376
E10000023,North Yorkshire,7,Aged 50 to 64 years,141386
E10000023,North Yorkshire,8,Aged 65 to 74 years,82186
E10000023,North Yorkshire,9,Aged 75 years and over,71642
E10000024,Nottinghamshire,1,Aged 4 years and under,41890
E10000024,Nottinghamshire,2,Aged 5 to 9 years,47172
E10000024,Nottinghamshire,3,Aged 10 to 15 years,56689
E10000024,Nottinghamshire,4,Aged 16 to 24 years,74605
E10000024,Nottinghamshire,5,Aged 25 to 34 years,102396
E10000024,Nottinghamshire,6,Aged 35 to 49 years,152900
E10000024,Nottinghamshire,7,Aged 50 to 64 years,173982
E10000024,Nottinghamshire,8,Aged 65 to 74 years,93559
E10000024,Nottinghamshire,9,Aged 75 years and over,81629
E10000025,Oxfordshire,1,Aged 4 years and under,37991
E10000025,Oxfordshire,2,Aged 5 to 9 years,41006
E10000025,Oxfordshire,3,Aged 10 to 15 years,51261
E10000025,Oxfordshire,4,Aged 16 to 24 years,84669
E10000025,Oxfordshire,5,Aged 25 to 34 years,100796
E10000025,Oxfordshire,6,Aged 35 to 49 years,141780
E10000025,Oxfordshire,7,Aged 50 to 64 years,137993
E10000025,Oxfordshire,8,Aged 65 to 74 years,67596
E10000025,Oxfordshire,9,Aged 75 years and over,62199
E10000027,Somerset,1,Aged 4 years and under,27048
E10000027,Somerset,2,Aged 5 to 9 years,30531
E10000027,Somerset,3,Aged 10 to 15 years,39029
E10000027,Somerset,4,Aged 16 to 24 years,49394
E10000027,Somerset,5,Aged 25 to 34 years,63591
E10000027,Somerset,6,Aged 35 to 49 years,96744
E10000027,Somerset,7,Aged 50 to 64 years,123314
E10000027,Somerset,8,Aged 65 to 74 years,74728
E10000027,Somerset,9,Aged 75 years and over,67169
E10000028,Staffordshire,1,Aged 4 years and under,43709
E10000028,Staffordshire,2,Aged 5 to 9 years,47706
E10000028,Staffordshire,3,Aged 10 to 15 years,58291
E10000028,Staffordshire,4,Aged 16 to 24 years,81590
E10000028,Staffordshire,5,Aged 25 to 34 years,105775
E10000028,Staffordshire,6,Aged 35 to 49 years,157666
E10000028,Staffordshire,7,Aged 50 to 64 years,187232
E10000028,Staffordshire,8,Aged 65 to 74 years,102717
E10000028,Staffordshire,9,Aged 75 years and over,91419
E10000029,Suffolk,1,Aged 4 years and under,37261
E10000029,Suffolk,2,Aged 5 to 9 years,41805
E10000029,Suffolk,3,Aged 10 to 15 years,51263
E10000029,Suffolk,4,Aged 16 to 24 years,68645
E10000029,Suffolk,5,Aged 25 to 34 years,90962
E10000029,Suffolk,6,Aged 35 to 49 years,134425
E10000029,Suffolk,7,Aged 50 to 64 years,157132
E10000029,Suffolk,8,Aged 65 to 74 years,93580
E10000029,Suffolk,9,Aged 75 years and over,85618
E10000030,Surrey,1,Aged 4 years and under,65635
E10000030,Surrey,2,Aged 5 to 9 years,74063
E10000030,Surrey,3,Aged 10 to 15 years,90897
E10000030,Surrey,4,Aged 16 to 24 years,118934
E10000030,Surrey,5,Aged 25 to 34 years,135537
E10000030,Surrey,6,Aged 35 to 49 years,250379
E10000030,Surrey,7,Aged 50 to 64 years,240472
E10000030,Surrey,8,Aged 65 to 74 years,115129
E10000030,Surrey,9,Aged 75 years and over,112061
E10000031,Warwickshire,1,Aged 4 years and under,31010
E10000031,Warwickshire,2,Aged 5 to 9 years,34016
E10000031,Warwickshire,3,Aged 10 to 15 years,41183
E10000031,Warwickshire,4,Aged 16 to 24 years,57336
E10000031,Warwickshire,5,Aged 25 to 34 years,76091
E10000031,Warwickshire,6,Aged 35 to 49 years,113320
E10000031,Warwickshire,7,Aged 50 to 64 years,121202
E10000031,Warwickshire,8,Aged 65 to 74 years,63593
E10000031,Warwickshire,9,Aged 75 years and over,59022
E10000032,West Sussex,1,Aged 4 years and under,44525
E10000032,West Sussex,2,Aged 5 to 9 years,49867
E10000032,West Sussex,3,Aged 10 to 15 years,61164
E10000032,West Sussex,4,Aged 16 to 24 years,76345
E10000032,West Sussex,5,Aged 25 to 34 years,101883
E10000032,West Sussex,6,Aged 35 to 49 years,166681
E10000032,West Sussex,7,Aged 50 to 64 years,180821
E10000032,West Sussex,8,Aged 65 to 74 years,102300
E10000032,West Sussex,9,Aged 75 years and over,99090
E10000034,Worcestershire,1,Aged 4 years and under,29604
E10000034,Worcestershire,2,Aged 5 to 9 years,33340
E10000034,Worcestershire,3,Aged 10 to 15 years,41373
E10000034,Worcestershire,4,Aged 16 to 24 years,55046
E10000034,Worcestershire,5,Aged 25 to 34 years,70026
E10000034,Worcestershire,6,Aged 35 to 49 years,109006
E10000034,Worcestershire,7,Aged 50 to 64 years,127247
E10000034,Worcestershire,8,Aged 65 to 74 years,73140
E10000034,Worcestershire,9,Aged 75 years and over,64894
